cities,name,country,state,lat,lon,date,temp,humidity,description
Mont Saint Michel,Mont Saint-Michel,FR,Normandy,48.6359541,-1.511459954959514,2025-03-28 09:06:09,9.82,91.0,overcast clouds
St Malo,Saint-Malo,FR,Brittany,48.649518,-2.0260409,2025-03-28 09:06:26,10.56,92.0,broken clouds
Bayeux,Bayeux,FR,Normandy,49.2764624,-0.7024738,2025-03-28 09:06:26,9.48,91.0,overcast clouds
Le Havre,Le Havre,FR,Normandy,49.4938975,0.1079732,2025-03-28 09:06:26,9.35,88.0,overcast clouds
Rouen,Rouen,FR,Normandy,49.4404591,1.0939658,2025-03-28 09:06:26,9.19,87.0,overcast clouds
Paris,Paris,FR,Ile-de-France,48.8588897,2.3200410217200766,2025-03-28 09:06:26,8.63,93.0,overcast clouds
Amiens,Amiens,FR,Hauts-de-France,49.8941708,2.2956951,2025-03-28 09:06:26,8.84,86.0,overcast clouds
Lille,Lille,FR,Hauts-de-France,50.6365654,3.0635282,2025-03-28 09:06:26,8.8,75.0,broken clouds
Strasbourg,Strasbourg,FR,Grand Est,48.584614,7.7507127,2025-03-28 09:06:26,10.71,70.0,clear sky
Chateau du Haut Koenigsbourg,Château du Haut-Kœnigsbourg,FR,Grand Est,48.2495226,7.3454923,2025-03-28 09:06:26,7.71,70.0,clear sky
Colmar,Colmar,FR,Grand Est,48.0777517,7.3579641,2025-03-28 09:06:26,10.19,71.0,clear sky
Eguisheim,Eguisheim,FR,Grand Est,48.0447968,7.3079618,2025-03-28 09:06:27,9.83,71.0,clear sky
Besancon,Besançon,FR,Bourgogne-Franche-Comté,47.2380222,6.0243622,2025-03-28 09:06:27,10.06,78.0,clear sky
Dijon,Dijon,FR,Bourgogne-Franche-Comté,47.3215806,5.0414701,2025-03-28 09:06:27,9.87,70.0,clear sky
Annecy,Annecy,FR,Auvergne-Rhône-Alpes,45.8992348,6.1288847,2025-03-28 09:06:27,11.14,77.0,overcast clouds
Grenoble,Grenoble,FR,Auvergne-Rhône-Alpes,45.1875602,5.7357819,2025-03-28 09:06:27,13.25,81.0,scattered clouds
Lyon,Lyon,FR,Auvergne-Rhône-Alpes,45.7578137,4.8320114,2025-03-28 09:06:27,11.57,71.0,clear sky
Bormes les Mimosas,Bormes-les-Mimosas,FR,Provence-Alpes-Côte d'Azur,43.1506968,6.3419285,2025-03-28 09:06:27,14.31,62.0,clear sky
Cassis,Cassis,FR,Provence-Alpes-Côte d'Azur,43.2140359,5.5396318,2025-03-28 09:06:27,13.85,66.0,overcast clouds
Marseille,Marseille,FR,Provence-Alpes-Côte d'Azur,43.2961743,5.3699525,2025-03-28 09:06:27,14.5,66.0,clear sky
Aix en Provence,Aix-en-Provence,FR,Provence-Alpes-Côte d'Azur,43.5298424,5.4474738,2025-03-28 09:06:27,13.45,69.0,broken clouds
Avignon,Avignon,FR,Provence-Alpes-Côte d'Azur,43.9492493,4.8059012,2025-03-28 09:06:27,14.0,59.0,clear sky
Uzes,Uzès,FR,Occitania,44.0121279,4.4196718,2025-03-28 09:06:28,13.12,60.0,scattered clouds
Nimes,Nimes,FR,Occitania,43.8374249,4.3600687,2025-03-28 09:06:28,13.6,59.0,clear sky
Aigues Mortes,Aigues-Mortes,FR,Occitania,43.5658225,4.1912837,2025-03-28 09:06:28,13.83,60.0,clear sky
Saintes Maries de la mer,Saintes-Maries-de-la-Mer,FR,Provence-Alpes-Côte d'Azur,43.4522771,4.4287172,2025-03-28 09:06:28,13.3,62.0,scattered clouds
Collioure,Collioure,FR,Occitania,42.52505,3.0831554,2025-03-28 09:06:28,15.37,48.0,broken clouds
Carcassonne,Carcassonne,FR,Occitania,43.2130358,2.3491069,2025-03-28 09:06:28,12.72,82.0,overcast clouds
Ariege,Tarascon-sur-Ariège,FR,Occitania,42.8458016,1.6067586,2025-03-28 09:06:28,10.69,70.0,overcast clouds
Toulouse,Toulouse,FR,Occitania,43.6044622,1.4442469,2025-03-28 09:06:28,11.63,86.0,overcast clouds
Montauban,Montauban,FR,Occitania,44.0175835,1.3549991,2025-03-28 09:06:28,11.26,84.0,overcast clouds
Biarritz,Biarritz,FR,Nouvelle-Aquitaine,43.4832523,-1.5592776,2025-03-28 09:06:28,12.51,81.0,broken clouds
Bayonne,Bayonne,FR,Nouvelle-Aquitaine,43.4945144,-1.4736657,2025-03-28 09:06:29,12.57,84.0,broken clouds
La Rochelle,La Rochelle,FR,Nouvelle-Aquitaine,46.1591126,-1.1520434,2025-03-28 09:06:29,10.03,90.0,few clouds
Gorges du Verdon,,,,43.7496562,6.3285616,2025-03-28 09:06:29,9.81,65.0,overcast clouds
