cities,name,country,state,lat,lon,date,temp,feels_like,uvi,humidity,wind_speed,description
Mont Saint Michel,Mont Saint-Michel,FR,Normandy,48.6359541,-1.511459954959514,2025-03-28 14:49:45,10.13,9.34,1.91,82.0,7.53,overcast clouds
St Malo,Saint-Malo,FR,Brittany,48.649518,-2.0260409,2025-03-28 14:49:45,12.29,11.56,1.96,76.0,7.2,scattered clouds
Bayeux,Bayeux,FR,Normandy,49.2764624,-0.7024738,2025-03-28 14:49:45,12.14,11.45,1.67,78.0,5.97,overcast clouds
Le Havre,Le Havre,FR,Normandy,49.4938975,0.1079732,2025-03-28 14:49:45,10.51,9.89,1.45,87.0,6.69,clear sky
Rouen,Rouen,FR,Normandy,49.4404591,1.0939658,2025-03-28 14:49:46,11.54,11.15,0.2,92.0,3.09,mist
Paris,Paris,FR,Ile-de-France,48.8588897,2.3200410217200766,2025-03-28 14:49:46,13.04,12.18,1.52,68.0,5.14,overcast clouds
Amiens,Amiens,FR,Hauts-de-France,49.8941708,2.2956951,2025-03-28 14:49:46,11.77,11.27,0.17,87.0,3.86,overcast clouds
Lille,Lille,FR,Hauts-de-France,50.6365654,3.0635282,2025-03-28 14:49:46,12.98,12.06,0.27,66.0,5.14,overcast clouds
Strasbourg,Strasbourg,FR,Grand Est,48.584614,7.7507127,2025-03-28 14:49:46,16.97,15.74,1.39,39.0,2.57,clear sky
Chateau du Haut Koenigsbourg,Château du Haut-Kœnigsbourg,FR,Grand Est,48.2495226,7.3454923,2025-03-28 14:49:46,12.9,11.39,1.41,44.0,1.03,clear sky
Colmar,Colmar,FR,Grand Est,48.0777517,7.3579641,2025-03-28 14:49:46,15.91,14.76,1.41,46.0,1.03,clear sky
Eguisheim,Eguisheim,FR,Grand Est,48.0447968,7.3079618,2025-03-28 14:49:46,15.84,14.68,1.41,46.0,1.03,clear sky
Besancon,Besançon,FR,Bourgogne-Franche-Comté,47.2380222,6.0243622,2025-03-28 14:49:47,15.24,14.18,1.14,52.0,2.54,scattered clouds
Dijon,Dijon,FR,Bourgogne-Franche-Comté,47.3215806,5.0414701,2025-03-28 14:49:47,16.8,15.55,1.62,39.0,3.09,clear sky
Annecy,Annecy,FR,Auvergne-Rhône-Alpes,45.8992348,6.1288847,2025-03-28 14:49:47,13.08,11.96,0.57,58.0,3.6,overcast clouds
Grenoble,Grenoble,FR,Auvergne-Rhône-Alpes,45.1875602,5.7357819,2025-03-28 14:49:47,11.54,10.84,0.71,80.0,1.34,overcast clouds
Lyon,Lyon,FR,Auvergne-Rhône-Alpes,45.7578137,4.8320114,2025-03-28 14:49:47,16.68,15.63,1.7,47.0,5.14,clear sky
Bormes les Mimosas,Bormes-les-Mimosas,FR,Provence-Alpes-Côte d'Azur,43.1506968,6.3419285,2025-03-28 14:49:47,19.42,18.33,1.6,35.0,6.17,clear sky
Cassis,Cassis,FR,Provence-Alpes-Côte d'Azur,43.2140359,5.5396318,2025-03-28 14:49:47,18.49,17.36,1.68,37.0,12.67,overcast clouds
Marseille,Marseille,FR,Provence-Alpes-Côte d'Azur,43.2961743,5.3699525,2025-03-28 14:49:47,18.64,17.53,1.76,37.0,9.26,clear sky
Aix en Provence,Aix-en-Provence,FR,Provence-Alpes-Côte d'Azur,43.5298424,5.4474738,2025-03-28 14:49:47,17.79,16.7,1.81,41.0,4.92,overcast clouds
Avignon,Avignon,FR,Provence-Alpes-Côte d'Azur,43.9492493,4.8059012,2025-03-28 14:49:48,18.05,17.11,1.83,46.0,9.77,clear sky
Uzes,Uzès,FR,Occitania,44.0121279,4.4196718,2025-03-28 14:49:48,17.34,16.36,2.03,47.0,8.17,clear sky
Nimes,Nimes,FR,Occitania,43.8374249,4.3600687,2025-03-28 14:49:48,20.22,19.39,1.86,42.0,4.12,clear sky
Aigues Mortes,Aigues-Mortes,FR,Occitania,43.5658225,4.1912837,2025-03-28 14:49:48,20.78,19.83,1.86,35.0,11.32,clear sky
Saintes Maries de la mer,Saintes-Maries-de-la-Mer,FR,Provence-Alpes-Côte d'Azur,43.4522771,4.4287172,2025-03-28 14:49:48,17.12,16.22,1.85,51.0,5.49,overcast clouds
Collioure,Collioure,FR,Occitania,42.52505,3.0831554,2025-03-28 14:49:48,18.08,17.22,2.02,49.0,12.66,broken clouds
Carcassonne,Carcassonne,FR,Occitania,43.2130358,2.3491069,2025-03-28 14:49:48,16.04,15.08,0.98,53.0,10.29,broken clouds
Ariege,Tarascon-sur-Ariège,FR,Occitania,42.8458016,1.6067586,2025-03-28 14:49:48,11.36,10.25,1.69,65.0,3.14,overcast clouds
Toulouse,Toulouse,FR,Occitania,43.6044622,1.4442469,2025-03-28 14:49:49,16.97,16.05,2.25,51.0,8.23,broken clouds
Montauban,Montauban,FR,Occitania,44.0175835,1.3549991,2025-03-28 14:49:49,15.59,14.59,2.17,53.0,6.81,overcast clouds
Biarritz,Biarritz,FR,Nouvelle-Aquitaine,43.4832523,-1.5592776,2025-03-28 14:49:49,13.3,12.83,2.27,82.0,6.17,broken clouds
Bayonne,Bayonne,FR,Nouvelle-Aquitaine,43.4945144,-1.4736657,2025-03-28 14:49:49,13.42,12.96,2.35,82.0,6.17,broken clouds
La Rochelle,La Rochelle,FR,Nouvelle-Aquitaine,46.1591126,-1.1520434,2025-03-28 14:49:49,12.94,12.48,0.25,84.0,6.69,overcast clouds
Gorges du Verdon,,,,43.7496562,6.3285616,2025-03-28 14:49:49,15.53,14.5,1.82,52.0,4.18,scattered clouds
